TempEmMap1
GOS-upconversion-EX,980nm
Labels,Em -175.0°C ,Em -150.0°C ,Em -125.0°C ,Em -100.0°C ,Em -75.0°C ,Em -50.0°C ,Em -25.0°C ,Em 0.0°C ,Em 25.0°C ,Em 50.0°C ,Em 75.0°C ,Em 100.0°C ,Em 125.0°C ,Em 150.0°C ,Em 175.0°C ,Em 200.0°C ,Em 225.0°C ,Em 250.0°C ,Em 275.0°C ,Em 300.0°C ,Em 325.0°C ,Em 350.0°C ,Em 375.0°C ,Em 400.0°C ,Em 425.0°C ,Em 450.0°C ,Em 475.0°C ,Em 500.0°C ,Em 525.0°C ,Em 550.0°C ,Em 575.0°C ,Em 600.0°C ,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,
Stop,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,
Step,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,
Fixed/Offset,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,
Scan Corr. by File,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Corr. by Ref. Det.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
